                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.038,                 2.6612,                 1.3523,                0.00946,                0.60243,                0.24939,                0.17232,                0.88899,                 3.1916,                 1.2537,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.0203,                 1.5843,                 1.3085,                0.90201,                0.29084,                0.43279,                 0.2993,                0.97715,                 2.6896,                 1.2997,             0.00051165,             0.00051165,             0.00051165
                      3,                 1.0373,                 1.4324,                 1.3163,                 0.7921,                0.24117,                0.52618,                0.33637,                 1.3009,                 2.6723,                 1.5282,             0.00076798,             0.00076798,             0.00076798
                      4,                 1.0436,                 1.3904,                  1.338,                0.76426,                0.19403,                0.51979,                0.30445,                 1.3834,                 2.6458,                 1.6815,               0.001019,               0.001019,               0.001019
                      5,                 1.0649,                 1.3505,                 1.3282,                0.81241,                0.23881,                0.54479,                0.30311,                 1.6194,                 2.5731,                 2.0666,              0.0012648,              0.0012648,              0.0012648
                      6,                 1.0882,                 1.3889,                 1.3583,                 0.5338,                0.53573,                0.53948,                0.29466,                 1.5768,                 2.3416,                 1.9544,              0.0015053,              0.0015053,              0.0015053
                      7,                 1.1185,                  1.335,                 1.3592,                0.74779,                0.55668,                0.65955,                0.36435,                 1.4898,                  1.967,                 1.9228,               0.001568,               0.001568,               0.001568
                      8,                 1.1292,                 1.3226,                  1.369,                0.77663,                0.55315,                0.63425,                0.40817,                 1.2667,                 1.8849,                  1.636,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0782,                 1.2765,                 1.3398,                0.74404,                0.65241,                0.68325,                0.43454,                 1.4125,                 1.6394,                 1.7465,               0.001535,               0.001535,               0.001535
                     10,                 1.0267,                 1.1675,                 1.3019,                0.72231,                0.55303,                0.61775,                0.35547,                  1.493,                 1.9187,                 1.8944,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0757,                 1.2155,                 1.3267,                0.68323,                0.56246,                0.59813,                0.37002,                 1.3727,                 1.8489,                 1.6833,               0.001502,               0.001502,               0.001502
                     12,                 1.0201,                  1.151,                 1.2961,                0.61641,                0.61629,                0.59534,                0.36733,                 1.5688,                 2.1677,                 1.8761,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0431,                 1.1433,                 1.3015,                0.72337,                0.66577,                0.64596,                0.42317,                 1.4418,                  1.901,                 1.7535,               0.001469,               0.001469,               0.001469
                     14,                  0.998,                 1.1259,                 1.2898,                 0.7475,                0.67649,                  0.721,                0.45572,                 1.3696,                  1.516,                 1.7384,              0.0014525,              0.0014525,              0.0014525
                     15,                0.97148,                 1.0429,                 1.2646,                0.84644,                0.68845,                 0.7395,                0.49119,                 1.2123,                 1.4909,                 1.6172,               0.001436,               0.001436,               0.001436
                     16,                  1.023,                 1.0922,                 1.2913,                0.64635,                0.65698,                0.62536,                0.39863,                 1.3501,                 1.7099,                 1.6232,              0.0014195,              0.0014195,              0.0014195
                     17,                0.96203,                 1.0554,                 1.2611,                0.61401,                0.61372,                0.61549,                0.40592,                 1.2183,                  1.651,                 1.5144,              0.0014029,              0.0014029,              0.0014029
                     18,                0.97043,                 1.0631,                 1.2762,                0.72594,                0.62174,                0.68249,                 0.4412,                 1.2306,                 1.5187,                 1.5168,              0.0013864,              0.0013864,              0.0013864
                     19,                0.98609,                  1.031,                 1.2759,                 0.7708,                0.67351,                0.72715,                0.48131,                 1.1824,                 1.2604,                 1.5212,              0.0013699,              0.0013699,              0.0013699
                     20,                0.90553,                0.93958,                 1.2221,                0.78459,                0.69502,                0.72472,                0.47735,                 1.1766,                 1.3622,                 1.5306,              0.0013534,              0.0013534,              0.0013534
                     21,                0.95513,                0.99382,                 1.2532,                0.70068,                0.69501,                  0.681,                0.47055,                 1.1227,                 1.4434,                 1.4642,              0.0013369,              0.0013369,              0.0013369
                     22,                 0.9453,                0.97548,                 1.2523,                0.76232,                0.70098,                0.72481,                0.45986,                 1.2725,                 1.4265,                 1.6114,              0.0013204,              0.0013204,              0.0013204
                     23,                0.93224,                0.93359,                 1.2458,                0.76181,                0.72967,                0.71675,                0.45928,                 1.3612,                 1.3994,                 1.6909,              0.0013039,              0.0013039,              0.0013039
                     24,                0.90366,                0.94893,                 1.2204,                0.89535,                0.65296,                0.76062,                0.49477,                 1.2598,                 1.3148,                 1.5969,              0.0012874,              0.0012874,              0.0012874
                     25,                0.92163,                 0.9197,                 1.2256,                 0.8012,                0.66089,                0.74552,                0.50067,                  1.212,                 1.2374,                 1.5747,              0.0012709,              0.0012709,              0.0012709
                     26,                0.90207,                0.90966,                 1.2179,                0.85012,                 0.7014,                 0.7804,                 0.5173,                 1.1938,                   1.15,                 1.5223,              0.0012544,              0.0012544,              0.0012544
                     27,                0.88005,                0.85877,                 1.1859,                 0.8498,                0.70407,                0.81123,                0.54321,                 1.1149,                 1.0715,                 1.4584,              0.0012379,              0.0012379,              0.0012379
                     28,                0.87202,                0.87044,                 1.1813,                0.77814,                0.74581,                0.77592,                 0.5133,                 1.1425,                 1.1845,                 1.4325,              0.0012214,              0.0012214,              0.0012214
                     29,                0.88119,                0.88571,                 1.2009,                0.88624,                0.72703,                0.80039,                0.56602,                 1.0715,                 1.0661,                 1.3902,              0.0012049,              0.0012049,              0.0012049
                     30,                0.89356,                0.87124,                 1.2022,                0.79546,                0.70611,                0.74251,                0.50717,                 1.2813,                 1.2173,                 1.5071,              0.0011884,              0.0011884,              0.0011884
                     31,                0.89153,                0.87954,                 1.2023,                0.84316,                0.67288,                0.77989,                0.52689,                 1.1931,                 1.1124,                 1.4384,              0.0011719,              0.0011719,              0.0011719
                     32,                0.89433,                0.86797,                 1.1931,                0.75251,                 0.7428,                0.77452,                0.51696,                 1.0613,                 1.0454,                  1.397,              0.0011554,              0.0011554,              0.0011554
                     33,                0.89431,                0.86869,                 1.2086,                0.81562,                0.74342,                0.81501,                0.58297,                 1.0282,                 1.0109,                 1.3866,              0.0011389,              0.0011389,              0.0011389
                     34,                0.89768,                0.87001,                 1.2166,                0.74105,                0.78456,                 0.7928,                0.57352,                  1.015,                  0.974,                 1.3719,              0.0011224,              0.0011224,              0.0011224
                     35,                 0.8592,                0.82864,                 1.1656,                0.84068,                0.71517,                0.80328,                0.58727,                0.99841,                 0.9859,                 1.3366,              0.0011059,              0.0011059,              0.0011059
                     36,                0.80459,                0.75803,                  1.147,                 0.8399,                 0.7201,                0.78828,                0.56166,                  1.102,                 1.0279,                 1.4155,              0.0010894,              0.0010894,              0.0010894
                     37,                0.85055,                0.80643,                 1.1672,                0.79446,                 0.6638,                0.69302,                0.47619,                 1.1188,                  1.251,                 1.4128,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.8411,                0.77367,                 1.1615,                0.80417,                0.69441,                0.77582,                0.54805,                 1.1011,                 1.1695,                 1.4152,              0.0010564,              0.0010564,              0.0010564
                     39,                0.83707,                0.79178,                 1.1766,                 0.7838,                 0.7281,                0.76048,                0.53209,                 1.1209,                 1.1056,                 1.4373,              0.0010399,              0.0010399,              0.0010399
                     40,                0.81852,                0.75457,                 1.1523,                0.85273,                0.68168,                0.77996,                0.55106,                 1.0683,                 1.1087,                 1.4022,              0.0010234,              0.0010234,              0.0010234
                     41,                0.84939,                0.79098,                 1.1923,                0.81594,                 0.7548,                0.80035,                0.56617,                   1.02,                  1.022,                 1.3533,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.7992,                0.74119,                 1.1557,                0.85181,                0.69478,                0.79089,                0.56763,                 1.0265,                 1.0004,                 1.3617,             0.00099036,             0.00099036,             0.00099036
                     43,                0.80017,                0.72863,                 1.1433,                0.81949,                0.75329,                0.80125,                 0.5859,                0.95717,                0.95388,                  1.346,             0.00097386,             0.00097386,             0.00097386
                     44,                0.80038,                0.74904,                 1.1564,                0.81021,                 0.7423,                0.82005,                 0.5832,                 1.0654,                0.93834,                 1.4116,             0.00095736,             0.00095736,             0.00095736
                     45,                0.76684,                0.69395,                 1.1438,                0.73584,                0.77861,                0.79174,                0.56781,                 1.0333,                0.94433,                 1.4037,             0.00094085,             0.00094085,             0.00094085
                     46,                0.79268,                0.74452,                 1.1366,                0.80831,                0.75249,                0.79472,                0.57549,                 1.0559,                  0.934,                 1.3954,             0.00092435,             0.00092435,             0.00092435
                     47,                0.78165,                 0.7222,                 1.1312,                0.77974,                0.73141,                0.76406,                0.55193,                 1.0214,                 0.9964,                 1.3808,             0.00090785,             0.00090785,             0.00090785
                     48,                0.76284,                0.70787,                 1.1338,                0.82198,                0.74947,                0.80529,                0.58324,                 1.0256,                0.90882,                  1.405,             0.00089134,             0.00089134,             0.00089134
                     49,                0.78541,                0.69353,                 1.1216,                 0.8206,                0.73383,                0.79504,                0.54079,                 1.0749,                0.97414,                 1.3623,             0.00087484,             0.00087484,             0.00087484
                     50,                0.75221,                0.68331,                 1.1186,                0.84011,                0.72122,                0.79056,                0.57029,                 1.0093,                0.97583,                 1.3266,             0.00085834,             0.00085834,             0.00085834
                     51,                0.75137,                0.68243,                 1.1054,                0.82318,                0.73614,                0.81422,                0.58079,                  1.027,                0.92929,                 1.3741,             0.00084184,             0.00084184,             0.00084184
                     52,                0.75846,                0.70339,                  1.126,                0.84821,                0.69367,                0.79817,                0.56523,                 1.0139,                   1.01,                 1.3456,             0.00082533,             0.00082533,             0.00082533
                     53,                0.75805,                0.69583,                 1.1214,                0.85262,                0.74274,                0.81643,                0.57922,                0.99188,                0.91665,                  1.315,             0.00080883,             0.00080883,             0.00080883
                     54,                0.74527,                0.68451,                 1.0992,                0.77727,                  0.754,                0.76701,                0.55215,                 0.9995,                0.98791,                 1.3365,             0.00079233,             0.00079233,             0.00079233
                     55,                0.72146,                0.65062,                   1.11,                0.78325,                0.75881,                0.78899,                0.56745,                 1.0274,                0.99254,                 1.3227,             0.00077582,             0.00077582,             0.00077582
